Anonymous_ID,Filename,Relative_Path,Extension,Image_Format,Image_Mode,Channels,Bit_Depth,File_Size_Bytes,File_Size_KB,File_Size_MB,Width,Height,Aspect_Ratio,Total_Pixels,Intensity_Min,Intensity_Max,Intensity_Range_MaxMin,Intensity_Mean,Intensity_Median,Intensity_SD,Intensity_Q1,Intensity_Q3,Intensity_IQR,Intensity_P1,Intensity_P5,Intensity_P95,Intensity_P99,Robust_Range_P95_P5,Robust_Range_P99_P1,Entropy,RMS_Contrast,Laplacian_Variance,Dark_Pixel_Ratio_Percent,Bright_Pixel_Ratio_Percent
P0259,P0259_01.jpg,P0259_01.jpg,.jpg,JPEG,L,1,8-bit,523561,511.29,0.49931,2032,2439,0.833128,4956048,0.0,255.0,255.0,46.97528393591023,6.0,72.05592624346379,5.0,60.0,55.0,0.0,1.0,201.0,221.0,200.0,221.0,5.52824592590332,72.05592624346379,45.274698742367306,66.81735124437859,0.14366285395137415
P0259,P0259_02.jpg,P0259_02.jpg,.jpg,JPEG,L,1,8-bit,601659,587.558,0.57379,2032,2439,0.833128,4956048,0.0,255.0,255.0,62.8142289985892,14.0,76.87717316456768,11.0,138.0,127.0,0.0,4.0,208.0,227.0,204.0,227.0,6.024023056030273,76.87717316456768,55.43311851299276,42.31456192514681,0.16775463030220852
P0260,P0260_01.jpg,P0260_01.jpg,.jpg,JPEG,L,1,8-bit,838525,818.872,0.79968,2068,2658,0.778029,5496744,0.0,255.0,255.0,56.94215593813356,18.0,63.28640286222684,14.0,105.0,91.0,0.0,4.0,183.0,209.0,179.0,209.0,6.461865425109863,63.28640286222684,60.06646483398319,18.059418448448756,0.005494161634596772
P0261,P0261_01.jpg,P0261_01.jpg,.jpg,JPEG,L,1,8-bit,408472,398.898,0.38955,2440,1111,2.19622,2710840,0.0,255.0,255.0,67.08547239969899,24.0,69.43720350969758,16.0,135.0,119.0,1.0,5.0,196.0,219.0,191.0,218.0,6.87667179107666,69.43720350969758,161.2757150306183,16.707183013383307,0.1432028448746514
P0262,P0262_01.jpg,P0262_01.jpg,.jpg,JPEG,L,1,8-bit,411962,402.307,0.39288,2440,1114,2.190305,2718160,0.0,255.0,255.0,70.30280814963064,23.0,71.24915662357769,18.0,140.0,122.0,3.0,9.0,201.0,223.0,192.0,220.0,6.679460048675537,71.24915662357769,197.72827622097324,10.28625982282132,0.17909173852900492
P0263,P0263_01.jpg,P0263_01.jpg,.jpg,JPEG,L,1,8-bit,562310,549.131,0.53626,2032,2439,0.833128,4956048,0.0,255.0,255.0,40.86072229324655,12.0,60.15234644468808,9.0,35.0,26.0,0.0,1.0,182.0,225.0,181.0,225.0,5.581476211547852,60.15234644468808,58.38700034835539,57.84084415647306,0.253710214267497
P0263,P0263_02.jpg,P0263_02.jpg,.jpg,JPEG,L,1,8-bit,528890,516.494,0.50439,2032,2439,0.833128,4956048,0.0,255.0,255.0,50.00801384490223,15.0,60.065463939941765,14.0,82.0,68.0,0.0,6.0,174.0,207.0,168.0,207.0,5.721019744873047,60.065463939941765,43.72185835500264,18.028558238338288,0.0689662408435108
P0264,P0264_01.jpg,P0264_01.jpg,.jpg,JPEG,L,1,8-bit,638443,623.479,0.60887,2264,1821,1.243273,4122744,0.0,255.0,255.0,76.94216473300307,48.0,77.12423632470659,5.0,152.0,147.0,0.0,0.0,199.0,229.0,199.0,229.0,6.417419910430908,77.12423632470659,99.39977765491362,46.12180625331091,0.3820998829905519
P0265,P0265_01.jpg,P0265_01.jpg,.jpg,JPEG,L,1,8-bit,557553,544.485,0.53172,2312,1753,1.318882,4052936,0.0,255.0,255.0,66.46228437853448,21.0,73.78009485282452,6.0,133.0,127.0,0.0,0.0,202.0,228.0,202.0,228.0,6.639209747314453,73.78009485282452,91.18996400712744,48.664301632199475,0.2965257778558556
P0266,P0266_01.jpg,P0266_01.jpg,.jpg,JPEG,L,1,8-bit,683829,667.802,0.65215,2032,2439,0.833128,4956048,0.0,221.0,221.0,70.04869525073204,48.0,44.82540059516224,40.0,104.0,64.0,21.0,32.0,158.0,184.0,126.0,163.0,6.335904121398926,44.82540059516224,155.95975378133406,0.16694753561708847,0.022275813309314198
P0266,P0266_02.jpg,P0266_02.jpg,.jpg,JPEG,L,1,8-bit,740776,723.414,0.70646,2032,2439,0.833128,4956048,0.0,249.0,249.0,64.71688793167459,32.0,59.381364814308334,25.0,127.0,102.0,6.0,16.0,178.0,204.0,162.0,198.0,6.386786460876465,59.381364814308334,157.4565220172387,2.8763845709323235,0.01987470662108196
P0267,P0267_01.jpg,P0267_01.jpg,.jpg,JPEG,L,1,8-bit,771857,753.767,0.7361,2032,2439,0.833128,4956048,0.0,255.0,255.0,49.21352275038498,16.0,69.72103977270888,10.0,45.0,35.0,0.0,0.0,208.0,240.0,208.0,240.0,6.129039764404297,69.72103977270888,106.42361332479369,35.028413768389655,0.8587890997020207
P0267,P0267_02.jpg,P0267_02.jpg,.jpg,JPEG,L,1,8-bit,683157,667.146,0.65151,2032,2439,0.833128,4956048,0.0,255.0,255.0,62.78333139630609,31.0,60.662096392237835,26.0,97.0,71.0,7.0,15.0,191.0,215.0,176.0,208.0,6.3489532470703125,60.662096392237835,63.50085702756807,3.259290466920417,0.10205712293343407
P0268,P0268_01.jpg,P0268_01.jpg,.jpg,JPEG,L,1,8-bit,658546,643.111,0.62804,2316,1871,1.237841,4333236,0.0,255.0,255.0,51.99642576587105,20.0,60.056976632666164,7.0,84.0,77.0,0.0,0.0,177.0,233.0,177.0,233.0,6.468540191650391,60.056976632666164,95.8912692914916,48.33627801486002,0.5313811664077378
P0269,P0269_01.jpg,P0269_01.jpg,.jpg,JPEG,L,1,8-bit,768367,750.358,0.73277,2496,1650,1.512727,4118400,0.0,255.0,255.0,63.88624975718726,27.0,69.7586653502454,8.0,119.0,111.0,0.0,2.0,199.0,228.0,197.0,228.0,6.763482093811035,69.7586653502454,195.95719228082984,43.960907148407145,0.4093094405594406
