Width,Height,Count,Percent
2012,1199,1,0.11135857461024498
2012,2735,1,0.11135857461024498
2024,1318,1,0.11135857461024498
2032,1058,1,0.11135857461024498
2032,1125,1,0.11135857461024498
2032,1241,1,0.11135857461024498
2032,1301,1,0.11135857461024498
2032,2511,1,0.11135857461024498
2032,2582,1,0.11135857461024498
2032,2591,1,0.11135857461024498
2032,2603,1,0.11135857461024498
2044,1146,1,0.11135857461024498
2048,2674,1,0.11135857461024498
2048,2852,1,0.11135857461024498
2052,2944,1,0.11135857461024498
2056,2640,1,0.11135857461024498
2064,2664,1,0.11135857461024498
2068,2658,1,0.11135857461024498
2076,2465,1,0.11135857461024498
2084,2493,1,0.11135857461024498
2084,2546,1,0.11135857461024498
2092,2621,1,0.11135857461024498
2096,1181,1,0.11135857461024498
2096,2625,1,0.11135857461024498
2100,1206,1,0.11135857461024498
2100,2546,1,0.11135857461024498
2104,1291,1,0.11135857461024498
2104,2510,1,0.11135857461024498
2104,2536,1,0.11135857461024498
2112,1139,1,0.11135857461024498
2112,2547,1,0.11135857461024498
2112,2932,1,0.11135857461024498
2116,1142,1,0.11135857461024498
2116,2624,1,0.11135857461024498
2120,2625,1,0.11135857461024498
2120,2715,1,0.11135857461024498
2128,1228,1,0.11135857461024498
2128,1292,1,0.11135857461024498
2136,1212,1,0.11135857461024498
2136,1270,1,0.11135857461024498
2136,2610,1,0.11135857461024498
2140,1289,1,0.11135857461024498
2140,1612,1,0.11135857461024498
2144,1124,1,0.11135857461024498
2148,2599,1,0.11135857461024498
2152,1178,1,0.11135857461024498
2152,1185,1,0.11135857461024498
2152,2568,1,0.11135857461024498
2152,2690,1,0.11135857461024498
2156,2457,1,0.11135857461024498
2160,2740,1,0.11135857461024498
2168,1745,1,0.11135857461024498
2168,2667,1,0.11135857461024498
2172,1259,1,0.11135857461024498
2172,2521,1,0.11135857461024498
2176,1108,1,0.11135857461024498
2176,1632,1,0.11135857461024498
2176,2724,1,0.11135857461024498
2180,2702,1,0.11135857461024498
2184,1292,1,0.11135857461024498
2188,1228,1,0.11135857461024498
2188,2578,1,0.11135857461024498
2188,2699,1,0.11135857461024498
2188,2724,1,0.11135857461024498
2192,1280,1,0.11135857461024498
2192,1320,1,0.11135857461024498
2200,1292,1,0.11135857461024498
2200,1824,1,0.11135857461024498
2204,1309,1,0.11135857461024498
2204,2604,1,0.11135857461024498
2204,2717,1,0.11135857461024498
2212,2592,1,0.11135857461024498
2212,2786,1,0.11135857461024498
2216,1299,1,0.11135857461024498
2224,1921,1,0.11135857461024498
2224,2657,1,0.11135857461024498
2224,2671,1,0.11135857461024498
2224,2720,1,0.11135857461024498
2228,1035,1,0.11135857461024498
2232,1146,1,0.11135857461024498
2232,1152,1,0.11135857461024498
2236,2689,1,0.11135857461024498
2236,2738,1,0.11135857461024498
2244,1289,1,0.11135857461024498
2244,1312,1,0.11135857461024498
2252,1184,1,0.11135857461024498
2256,2689,1,0.11135857461024498
2256,3042,1,0.11135857461024498
2260,1439,1,0.11135857461024498
2260,2233,1,0.11135857461024498
2260,2619,1,0.11135857461024498
